label,potential_avg,potential_std,temperature_avg,temperature_std,pressure_avg,pressure_std,rdf_peak_r_nm,rdf_first_min_r_nm,coordination_number_at_first_min,diffusion_li_m2_s,diffusion_pyr13_m2_s,diffusion_fsi_m2_s
L1P1,-8194.19092754902,2190.354733399767,298.99258541176476,8.598749301265734,30.667785431372554,242.29124807195691,0.22,0.33,4.297,4.48893970346904e-08,2.40152890106597e-08,2.458789657091485e-08
L1P2,-7699.804385901961,2952.5278275400224,299.93609323529404,5.946259162011761,1.8256392941176425,149.73806860082755,0.22,0.33,4.479,5.203564861509483e-08,3.3912032821039706e-08,3.939730516431924e-08
L2P1,-17861.8603132549,3401.83411519512,300.39883429411765,8.347072008865693,-17.072899372549017,180.57947694452417,0.22,0.32,4.183,2.642899305050159e-08,1.497036480157541e-08,1.5325815334560552e-08
L3P1,-26924.76210182353,4430.871015578932,301.80364158823534,7.139939605500869,27.12361072549019,155.17251785570693,0.22,0.32,4.124,2.1530373380709786e-08,1.3693496784965107e-08,1.682071654037701e-08
L1P3,-6576.149658196078,4147.5878230246535,298.76304709803924,5.089410248021492,25.5911238627451,193.19537080687445,0.22,0.33,4.429,4.589631759350427e-08,5.869955466130113e-08,4.910713155528918e-08
