system,total_li_frames,Free,CIP,AGG-I,AGG-II
L1P1,5025,0.009751243781094527,0.041393034825870645,0.16875621890547263,0.7800995024875622
L1P2,5025,0.012935323383084577,0.061492537313432835,0.1818905472636816,0.743681592039801
L2P1,10050,0.009850746268656717,0.03174129353233831,0.1416915422885572,0.8167164179104478
L3P1,15075,0.007097844112769486,0.029187396351575457,0.17087893864013268,0.7928358208955224
L1P3,5025,0.014925373134328358,0.04597014925373134,0.20537313432835821,0.7337313432835821
