run_id,system_id,protocol_version,input_sha256,environment_id,stage,start_local,end_local,exit_code,expected_step,last_step,tech_status,physics_status,artifact_path
pilot_L1P1x2_rho1400,L1P1x2,v0.2-candidate,,local_mac_20260806,build,2026-08-06T23:34:16+09:00,2026-08-06T23:34:18+09:00,1,,0,FAILED,NOT_VERIFIED,04_Runs/pilot_L1P1x2_rho1400
pilot_L1P1x2_rho1400_v2,L1P1x2,v0.2-candidate,,local_mac_20260806,grompp,2026-08-06T23:34:38+09:00,2026-08-06T23:34:40+09:00,1,,0,FAILED,NOT_VERIFIED,04_Runs/pilot_L1P1x2_rho1400_v2
pilot_L1P1x2_rho1400_v3,L1P1x2,v0.2-candidate,,local_mac_20260806,post_em_check,2026-08-06T23:35:19+09:00,2026-08-06T23:35:22+09:00,1,50000,742,FAILED_CHECK_COMMAND_AFTER_EM,NOT_VERIFIED,04_Runs/pilot_L1P1x2_rho1400_v3
pilot_L1P1x2_rho1400_v4,L1P1x2,v0.2-candidate,f98c1d5b64d0966ad435b995288dd6c87b8432e23e814fed068f6a91da186142,local_mac_20260806,em,2026-08-06T23:36:17+09:00,2026-08-06T23:36:21+09:00,0,50000,821,PASS_EM_TECHNICAL,NOT_VERIFIED,04_Runs/pilot_L1P1x2_rho1400_v4
pilot_L1P1x2_rho1400_v5,L1P1x2,v0.2-candidate,f98c1d5b64d0966ad435b995288dd6c87b8432e23e814fed068f6a91da186142,local_mac_20260806,em,2026-08-06T23:38:11+09:00,2026-08-06T23:38:15+09:00,0,50000,821,PASS_EM_TECHNICAL,NOT_VERIFIED,04_Runs/pilot_L1P1x2_rho1400_v5
pilot_L1P1x2_rho1400_v6,L1P1x2,v0.2-candidate,997d60084dbc0c2236c45bbd0d228e786544c10740fdb1845350021625982f4f,local_mac_20260806,em,2026-08-06T23:39:58+09:00,2026-08-06T23:40:01+09:00,0,50000,874,PASS_EM_TECHNICAL,NOT_VERIFIED,04_Runs/pilot_L1P1x2_rho1400_v6
